Song Name,Loudness(in dB),Mean,Standard Deviation,Valence,Danceability,KEY_NUM_VAL,Genre / Mood
Dosh Karo Noy Go Maa,-12.159,261.957657,63.399247,0.55,0.38,5,1
E Eki Shundoro Shobha,-10.728,271.121725,56.223547,0.6,0.41,3,1
Agnibeena Bajao Tumi Kamon Kore,-8.116,278.699562,55.256678,0.5,0.46,7,1
Jago Nirmal Netre,-8.589,297.637336,57.954037,0.52,0.38,7,1
Nishi Raat Banka Chand,-7.583,,,0.55,0.56,7,1
Duranta Ghurnir Ei Legeche paak,-10.245,,,0.97,0.54,5,1
Bishwabeenarabe,-13.406,105.413621,22.771609,0.43,0.66,1,1
Bipulo Torongo Re,-10.547,120.713085,25.790975,0.64,0.62,6,1
Aguner Poroshmoni,-15.59,122.795566,26.28118,0.89,0.63,6,1
Arup Tomar Bani,-11.222,129.478215,24.562721,0.5,0.38,7,1
Ma Aachhen Aar Aami Aachhi,-9.833,132.470595,25.097738,0.55,0.65,5,1
Mago Anandamoyee,-2.778,135.217406,25.438994,0.62,0.63,4,1
Amar Hridoy Tomar Apon Haate Dole,-11.838,136.210814,24.580932,0.48,0.4,7,1
Chai Na Maa Go Raja Hote,-6.89,142.310785,28.171969,0.62,0.69,6,1
Khelichhe Jaldebi Sunil Sagarjale,-13.447,149.44972,28.139812,0.94,0.66,1,1
Chintamoyee Tara Tumi,-4.979,152.730291,31.315411,0.61,0.68,1,1
Aro Aro Probhu Emni kore Amay Maro,-8.984,153.444842,32.791504,0.42,0.42,7,1
Mon Mor Meghero Shongi,-8.693,156.757292,31.57617,0.67,0.59,7,1
Hey Ramkrishna,-6.082,158.733283,33.886214,0.96,0.41,7,1
"Madhur Madhur Dhwani Baje
",-6.439,159.942274,37.324364,0.76,0.61,3,1
Shamashane Jagichhe Shyama ,-6.98,160.600639,26.603254,0.48,0.84,2,1
Bhebe Dekh Mon Keu Karo Noy,-16.516,160.664535,64.843237,0.63,0.32,5,1
Mon Keno Re Bhabish Aato,-10.939,165.715794,56.482564,0.49,0.48,4,1
Tumi Kamon Kore Gaan Koro hey guni,-8.337,166.885483,35.322079,0.58,0.6,1,1
Tui Naki Ma Dayamoyee,-15.135,167.380023,37.020924,0.51,0.39,1,1
Mayer Paayer Jaba Hoye,-13.561,169.437986,66.274022,0.78,0.69,3,1
Ami Bhoy Korbona Bhoy Korbona,-9.313,169.760631,32.634358,0.93,0.7,5,1
Ma Go Samay To Thakbe Na,-16.978,174.841725,57.577826,0.59,0.32,5,1
Sadanandamoyee Kali,-14.517,175.822743,37.377019,0.57,0.48,4,1
Tara Tori Legeche Ghate,-11.841,176.965947,66.080944,0.41,0.49,5,0
Ami Mantro Tantro Kichhui Janine Ma,-15.616,177.011507,59.916282,0.55,0.3,4,1
Ma Tor Kato Rango Dekhbo,-13.656,178.994417,39.185174,0.66,0.48,5,1
Ma Tor Kato Rango Dekhbo Bol,-13.656,180.872349,38.624919,0.66,0.48,5,1
Bhabna Kali Bhabna Kiba,-10.841,181.394824,59.371987,0.56,0.4,1,1
Jago Ma Janani,-13.656,181.511397,44.56063,0.66,0.48,5,1
Sakali Tomari Ichchha,-13.853,183.270689,38.790445,0.42,0.45,1,0
Basan Paro Ma Basan Paro,-13.561,183.960179,44.915558,0.78,0.69,3,1
Jenechhi Jenchhi Tara,-20.153,184.553991,30.300593,0.38,0.4,6,0
Mon Tomar Ei Bhram Gelo Na,-14.517,190.233559,44.483568,0.66,0.5,2,1
Monre Krishi Kaaj Jano Na,-18.624,192.25366,51.844359,0.79,0.48,,1
Apaar Sansar Nahi Parapar,-13.735,192.713669,47.581666,0.58,0.4,6,1
Ami Sab Chhere Ma,-15.814,196.565937,47.200658,0.44,0.38,5,0
Ato Alo Jalieacho Ei Gogone ,-4.322,202.033952,41.147476,0.63,0.51,3,1
Jatane Hridaye Rekho Adarini Shyama Ma Ke,-1.831,206.962484,49.004897,0.63,0.5,1,1
Aar Lukabi Kothay Maa,-13.735,218.601645,52.515125,0.58,0.4,6,1
Shyama Naamer Laglo Aagun,-7.327,221.422615,44.739061,0.58,0.42,2,1
Byabharete Jana Gelo,-20.454,222.443373,38.913314,0.6,0.5,1,1
Moneri Basana Shyama,-17.359,223.136475,42.673037,0.69,0.5,5,1
Ganga Sindhu Narmada,-12.437,232.257369,63.81654,0.55,0.33,1,1
Oma Danuj Dalani,-15.445,237.196381,50.840513,0.46,0.38,6,1


